YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	283	22	19	48	31	601168.25091	10672287.28000
2020	283	22	19	50	33	601171.85182	10672284.38818
2020	283	22	19	52	35	601175.50273	10672281.56636
2020	283	22	19	54	38	601179.25545	10672278.75727
2020	283	22	19	56	40	601182.76455	10672275.86909
2020	283	22	19	58	42	601186.21364	10672272.96000
2020	283	22	20	0	44	601189.91818	10672270.07364
2020	283	22	20	2	47	601193.54636	10672267.22818
2020	283	22	20	4	49	601197.09545	10672264.33091
2020	283	22	20	6	51	601200.81182	10672261.46364
2020	283	22	20	8	54	601204.68636	10672258.60909
2020	283	22	20	10	56	601208.30636	10672255.76636
2020	283	22	20	12	58	601211.96000	10672253.01364
2020	283	22	20	14	61	601215.62182	10672250.13091
2020	283	22	20	16	63	601219.25455	10672247.21909
2020	283	22	20	18	65	601222.87727	10672244.33818
2020	283	22	20	20	68	601226.54182	10672241.51273
2020	283	22	20	22	70	601230.13273	10672238.59182
2020	283	22	20	24	72	601233.74636	10672235.63091
2020	283	22	20	26	75	601237.38909	10672232.75727
2020	283	22	20	28	77	601240.98273	10672229.88818
2020	283	22	20	30	79	601244.61364	10672226.97727
2020	283	22	20	32	82	601248.18909	10672224.02636
2020	283	22	20	34	84	601251.72727	10672221.04273
2020	283	22	20	36	86	601255.27364	10672218.04636
2020	283	22	20	38	88	601258.79818	10672214.96273
2020	283	22	20	40	91	601262.25818	10672211.84636
2020	283	22	20	42	93	601265.64818	10672208.67455
2020	283	22	20	44	95	601269.06636	10672205.51091
2020	283	22	20	46	98	601272.41000	10672202.31273
2020	283	22	20	48	100	601275.76455	10672199.09818
2020	283	22	20	50	102	601279.13000	10672195.94636
2020	283	22	20	52	105	601282.51182	10672192.77364
2020	283	22	20	54	107	601285.78273	10672189.55091
2020	283	22	20	56	109	601289.07091	10672186.34091
2020	283	22	20	58	112	601292.31091	10672183.18909
2020	283	22	21	0	114	601295.52364	10672179.89818
2020	283	22	21	2	116	601298.78909	10672176.61545
2020	283	22	21	4	119	601302.12455	10672173.45091
2020	283	22	21	6	121	601305.44545	10672170.28636
2020	283	22	21	8	123	601308.79000	10672167.06091
2020	283	22	21	10	125	601312.27455	10672163.97909
2020	283	22	21	12	128	601315.71182	10672160.95636
2020	283	22	21	14	130	601319.08273	10672157.90727
2020	283	22	21	16	132	601322.52636	10672154.96182
2020	283	22	21	18	135	601326.08545	10672152.07091
2020	283	22	21	20	137	601329.57909	10672149.12545
2020	283	22	21	22	139	601333.05545	10672146.23636
2020	283	22	21	24	141	601336.59000	10672143.40182
2020	283	22	21	26	144	601340.15636	10672140.45182
2020	283	22	21	28	146	601343.65455	10672137.55636
2020	283	22	21	30	148	601347.34091	10672134.78182
2020	283	22	21	32	151	601350.91727	10672131.91818
2020	283	22	21	34	153	601354.45727	10672129.05000
2020	283	22	21	36	155	601358.12182	10672126.26273
2020	283	22	21	38	157	601361.72000	10672123.39091
2020	283	22	21	40	160	601365.24636	10672120.46455
2020	283	22	21	42	162	601368.86182	10672117.54818
2020	283	22	21	44	164	601372.54636	10672114.71818
2020	283	22	21	46	167	601376.12364	10672111.75818
2020	283	22	21	48	169	601379.73364	10672108.88909
2020	283	22	21	50	171	601383.53818	10672106.07909
2020	283	22	21	52	174	601387.12636	10672103.26364
2020	283	22	21	54	176	601390.72182	10672100.37818
2020	283	22	21	56	178	601394.37182	10672097.48818
2020	283	22	21	58	181	601398.09545	10672094.58182
2020	283	22	22	0	183	601401.68818	10672091.66636
2020	283	22	22	2	185	601405.24364	10672088.66636
2020	283	22	22	4	188	601408.81000	10672085.65091
2020	283	22	22	6	190	601412.30455	10672082.57182
2020	283	22	22	8	192	601415.79818	10672079.51455
2020	283	22	22	10	195	601419.26909	10672076.43364
2020	283	22	22	12	197	601422.71909	10672073.29182
2020	283	22	22	14	199	601426.13545	10672070.13455
2020	283	22	22	16	202	601429.62545	10672067.02818
2020	283	22	22	18	204	601433.07364	10672063.91455
2020	283	22	22	20	206	601436.43909	10672060.72182
2020	283	22	22	22	209	601439.71727	10672057.41909
2020	283	22	22	24	211	601443.09545	10672054.23545
2020	283	22	22	26	213	601446.34182	10672050.97091
2020	283	22	22	28	215	601449.48909	10672047.57909
2020	283	22	22	30	218	601452.73818	10672044.19818
2020	283	22	22	32	220	601456.02909	10672040.94364
2020	283	22	22	34	222	601459.22182	10672037.63818
2020	283	22	22	36	225	601462.37636	10672034.22727
2020	283	22	22	38	227	601465.74364	10672030.96091
2020	283	22	22	40	229	601469.15727	10672027.81818
2020	283	22	22	42	232	601472.47727	10672024.64273
2020	283	22	22	44	234	601475.84455	10672021.43000
2020	283	22	22	46	236	601479.38545	10672018.41273
2020	283	22	22	48	239	601482.95273	10672015.43727
2020	283	22	22	50	241	601486.46727	10672012.47909
2020	283	22	22	52	243	601490.06000	10672009.48000
2020	283	22	22	54	246	601493.65364	10672006.56636
2020	283	22	22	56	248	601497.22091	10672003.61545
2020	283	22	22	58	250	601500.86545	10672000.66091
2020	283	22	23	0	253	601504.50818	10671997.63545
2020	283	22	23	2	255	601508.07091	10671994.68273
2020	283	22	23	4	257	601511.60545	10671991.77909
2020	283	22	23	6	260	601515.24182	10671988.85182
2020	283	22	23	8	262	601518.79364	10671985.82364
2020	283	22	23	10	264	601522.35818	10671982.89818
2020	283	22	23	12	267	601525.96636	10671980.02909
2020	283	22	23	14	269	601529.56091	10671977.05364
2020	283	22	23	16	271	601533.11091	10671974.10909
2020	283	22	23	18	274	601536.74273	10671971.25909
2020	283	22	23	20	276	601540.32273	10671968.35545
2020	283	22	23	22	278	601543.86818	10671965.38455
2020	283	22	23	24	280	601547.47091	10671962.49364
2020	283	22	23	26	283	601551.09091	10671959.59636
2020	283	22	23	28	285	601554.60909	10671956.63818
2020	283	22	23	30	287	601558.21818	10671953.70545
2020	283	22	23	32	290	601561.87455	10671950.84636
2020	283	22	23	34	292	601565.43727	10671947.89000
2020	283	22	23	36	294	601568.95455	10671944.86455
2020	283	22	23	38	297	601572.50909	10671941.89818
2020	283	22	23	40	299	601576.05364	10671938.93909
2020	283	22	23	42	301	601579.53000	10671935.92000
2020	283	22	23	44	304	601583.05182	10671932.89727
2020	283	22	23	46	306	601586.56818	10671929.86273
2020	283	22	23	48	308	601590.16000	10671926.87182
2020	283	22	23	50	311	601593.72091	10671923.82091
2020	283	22	23	52	313	601597.28000	10671920.76364
2020	283	22	23	54	315	601600.76364	10671917.84545
2020	283	22	23	56	318	601604.29364	10671914.83182
2020	283	22	23	58	320	601607.80636	10671911.87182
2020	283	22	24	0	322	601611.34273	10671908.85636
2020	283	22	24	2	324	601614.95545	10671905.94182
2020	283	22	24	4	327	601618.56091	10671902.90909
2020	283	22	24	6	329	601622.08273	10671899.82182
2020	283	22	24	8	332	601625.67909	10671896.80091
2020	283	22	24	10	334	601629.27727	10671893.87000
2020	283	22	24	12	336	601632.86000	10671890.84636
2020	283	22	24	14	339	601636.41636	10671887.78000
2020	283	22	24	16	341	601640.00545	10671884.82000
2020	283	22	24	18	343	601643.69273	10671881.90636
2020	283	22	24	20	346	601647.24091	10671878.88182
2020	283	22	24	22	348	601650.65545	10671875.75455
2020	283	22	24	24	350	601654.22818	10671872.72091
2020	283	22	24	26	353	601657.78909	10671869.69273
2020	283	22	24	28	355	601661.28455	10671866.62182
2020	283	22	24	30	357	601664.65818	10671863.48727
2020	283	22	24	32	359	601668.21818	10671860.51091
2020	283	22	24	34	362	601671.78091	10671857.48545
2020	283	22	24	36	364	601675.20455	10671854.34545
2020	283	22	24	38	366	601678.63091	10671851.23273
2020	283	22	24	40	369	601682.08455	10671848.21636
2020	283	22	24	42	371	601685.59000	10671845.10636
2020	283	22	24	44	373	601688.92455	10671841.92727
2020	283	22	24	46	376	601692.41909	10671838.81455
2020	283	22	24	48	378	601695.92273	10671835.75909
2020	283	22	24	50	380	601699.38818	10671832.62455
2020	283	22	24	52	383	601702.92000	10671829.48909
2020	283	22	24	54	385	601706.49636	10671826.43818
2020	283	22	24	56	387	601710.01455	10671823.49000
2020	283	22	24	58	390	601713.51182	10671820.47818
2020	283	22	25	0	392	601717.06455	10671817.43727
