YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	284	19	48	40	623520001	605979.65000	10659576.44000
2020	284	19	48	40	623520002	605980.17000	10659576.47000
2020	284	19	48	40	623520003	605980.69000	10659576.50000
2020	284	19	48	40	623520004	605981.22000	10659576.52000
2020	284	19	48	40	623520005	605981.74000	10659576.55000
2020	284	19	48	40	623520006	605982.26000	10659576.57000
2020	284	19	48	40	623520007	605982.78000	10659576.60000
2020	284	19	48	40	623520008	605983.31000	10659576.62000
2020	284	19	48	40	623520009	605983.83000	10659576.65000
2020	284	19	48	42	623520010	605984.36000	10659576.68000
2020	284	19	48	42	623520011	605984.75000	10659576.71000
2020	284	19	48	42	623520012	605985.15000	10659576.74000
2020	284	19	48	42	623520013	605985.55000	10659576.77000
2020	284	19	48	42	623520014	605985.95000	10659576.81000
2020	284	19	48	42	623520015	605986.35000	10659576.84000
2020	284	19	48	43	623520016	605986.75000	10659576.88000
2020	284	19	48	43	623520017	605987.11000	10659576.92000
2020	284	19	48	43	623520018	605987.48000	10659576.96000
2020	284	19	48	43	623520019	605987.85000	10659577.01000
2020	284	19	48	43	623520020	605988.22000	10659577.05000
2020	284	19	48	43	623520021	605988.59000	10659577.10000
2020	284	19	48	43	623520022	605988.96000	10659577.14000
2020	284	19	48	44	623520023	605989.32000	10659577.19000
2020	284	19	48	44	623520024	605989.76000	10659577.23000
2020	284	19	48	44	623520025	605990.19000	10659577.28000
2020	284	19	48	44	623520026	605990.63000	10659577.33000
2020	284	19	48	44	623520027	605991.06000	10659577.38000
2020	284	19	48	44	623520028	605991.49000	10659577.43000
2020	284	19	48	45	623520029	605991.93000	10659577.48000
2020	284	19	48	45	623520030	605992.32000	10659577.52000
2020	284	19	48	45	623520031	605992.72000	10659577.57000
2020	284	19	48	45	623520032	605993.12000	10659577.62000
2020	284	19	48	45	623520033	605993.51000	10659577.67000
2020	284	19	48	45	623520034	605993.91000	10659577.72000
2020	284	19	48	46	623520035	605994.31000	10659577.77000
2020	284	19	48	46	623520036	605994.62000	10659577.80000
2020	284	19	48	46	623520037	605994.93000	10659577.84000
2020	284	19	48	46	623520038	605995.25000	10659577.87000
2020	284	19	48	46	623520039	605995.56000	10659577.91000
2020	284	19	48	46	623520040	605995.88000	10659577.94000
2020	284	19	48	46	623520041	605996.19000	10659577.98000
2020	284	19	48	47	623520042	605996.51000	10659578.02000
2020	284	19	48	47	623520043	605996.89000	10659578.04000
2020	284	19	48	47	623520044	605997.28000	10659578.07000
2020	284	19	48	47	623520045	605997.66000	10659578.09000
2020	284	19	48	47	623520046	605998.05000	10659578.12000
2020	284	19	48	47	623520047	605998.43000	10659578.14000
2020	284	19	48	48	623520048	605998.81000	10659578.17000
2020	284	19	48	48	623520049	605999.18000	10659578.18000
2020	284	19	48	48	623520050	605999.55000	10659578.20000
2020	284	19	48	48	623520051	605999.91000	10659578.21000
2020	284	19	48	48	623520052	606000.28000	10659578.23000
2020	284	19	48	48	623520053	606000.64000	10659578.24000
2020	284	19	48	48	623520054	606001.01000	10659578.26000
2020	284	19	48	49	623520055	606001.38000	10659578.27000
2020	284	19	48	49	623520056	606001.82000	10659578.32000
2020	284	19	48	49	623520057	606002.26000	10659578.36000
2020	284	19	48	49	623520058	606002.69000	10659578.40000
2020	284	19	48	49	623520059	606003.13000	10659578.45000
2020	284	19	48	49	623520060	606003.57000	10659578.49000
2020	284	19	48	50	623520061	606004.02000	10659578.53000
2020	284	19	48	50	623520062	606004.37000	10659578.58000
2020	284	19	48	50	623520063	606004.73000	10659578.63000
2020	284	19	48	50	623520064	606005.09000	10659578.68000
2020	284	19	48	50	623520065	606005.44000	10659578.73000
2020	284	19	48	50	623520066	606005.80000	10659578.78000
2020	284	19	48	50	623520067	606006.16000	10659578.83000
2020	284	19	48	51	623520068	606006.52000	10659578.88000
2020	284	19	48	51	623520069	606006.91000	10659578.92000
2020	284	19	48	51	623520070	606007.30000	10659578.96000
2020	284	19	48	51	623520071	606007.69000	10659579.01000
2020	284	19	48	51	623520072	606008.08000	10659579.05000
2020	284	19	48	51	623520073	606008.47000	10659579.09000
2020	284	19	48	52	623520074	606008.86000	10659579.14000
2020	284	19	48	52	623520075	606009.19000	10659579.15000
2020	284	19	48	52	623520076	606009.53000	10659579.17000
2020	284	19	48	52	623520077	606009.87000	10659579.19000
2020	284	19	48	52	623520078	606010.20000	10659579.21000
2020	284	19	48	52	623520079	606010.54000	10659579.23000
2020	284	19	48	52	623520080	606010.88000	10659579.25000
2020	284	19	48	53	623520081	606011.22000	10659579.27000
2020	284	19	48	53	623520082	606011.62000	10659579.29000
2020	284	19	48	53	623520083	606012.02000	10659579.32000
2020	284	19	48	53	623520084	606012.42000	10659579.35000
2020	284	19	48	53	623520085	606012.82000	10659579.37000
2020	284	19	48	53	623520086	606013.22000	10659579.40000
2020	284	19	48	54	623520087	606013.63000	10659579.43000
2020	284	19	48	54	623520088	606014.02000	10659579.48000
2020	284	19	48	54	623520089	606014.42000	10659579.53000
2020	284	19	48	54	623520090	606014.82000	10659579.58000
2020	284	19	48	54	623520091	606015.22000	10659579.63000
2020	284	19	48	54	623520092	606015.62000	10659579.68000
2020	284	19	48	55	623520093	606016.02000	10659579.73000
2020	284	19	48	55	623520094	606016.36000	10659579.78000
2020	284	19	48	55	623520095	606016.71000	10659579.83000
2020	284	19	48	55	623520096	606017.06000	10659579.89000
2020	284	19	48	55	623520097	606017.40000	10659579.94000
2020	284	19	48	55	623520098	606017.75000	10659580.00000
2020	284	19	48	55	623520099	606018.10000	10659580.05000
