NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN3F01	23.09.2020	2020	267	20	56	20	49	1247661.969	10647119.59
20AN3F01	23.09.2020	2020	267	20	56	22	50	1247665.201	10647122.62
20AN3F01	23.09.2020	2020	267	20	56	24	52	1247668.439	10647125.65
20AN3F01	23.09.2020	2020	267	20	56	26	53	1247671.676	10647128.68
20AN3F01	23.09.2020	2020	267	20	56	28	54	1247674.915	10647131.71
20AN3F01	23.09.2020	2020	267	20	56	30	56	1247678.149	10647134.74
20AN3F01	23.09.2020	2020	267	20	56	32	57	1247681.395	10647137.78
20AN3F01	23.09.2020	2020	267	20	56	34	59	1247684.648	10647140.82
20AN3F01	23.09.2020	2020	267	20	56	36	60	1247687.911	10647143.88
20AN3F01	23.09.2020	2020	267	20	56	38	61	1247691.185	10647146.94
20AN3F01	23.09.2020	2020	267	20	56	40	63	1247694.476	10647150.03
20AN3F01	23.09.2020	2020	267	20	56	42	64	1247697.786	10647153.13
20AN3F01	23.09.2020	2020	267	20	56	44	66	1247701.041	10647156.31
20AN3F01	23.09.2020	2020	267	20	56	46	67	1247704.439	10647159.36
20AN3F01	23.09.2020	2020	267	20	56	48	69	1247707.811	10647162.5
20AN3F01	23.09.2020	2020	267	20	56	50	70	1247711.214	10647165.66
20AN3F01	23.09.2020	2020	267	20	56	52	72	1247714.592	10647168.82
20AN3F01	23.09.2020	2020	267	20	56	54	73	1247717.988	10647171.99
20AN3F01	23.09.2020	2020	267	20	56	56	75	1247721.394	10647175.21
20AN3F01	23.09.2020	2020	267	20	56	58	76	1247724.792	10647178.43
20AN3F01	23.09.2020	2020	267	20	57	0	78	1247728.189	10647181.66
20AN3F01	23.09.2020	2020	267	20	57	2	79	1247731.574	10647184.93
20AN3F01	23.09.2020	2020	267	20	57	4	81	1247734.957	10647188.19
20AN3F01	23.09.2020	2020	267	20	57	6	82	1247738.326	10647191.48
20AN3F01	23.09.2020	2020	267	20	57	8	84	1247741.669	10647194.79
20AN3F01	23.09.2020	2020	267	20	57	10	85	1247744.998	10647198.14
20AN3F01	23.09.2020	2020	267	20	57	12	87	1247748.356	10647201.47
20AN3F01	23.09.2020	2020	267	20	57	14	88	1247751.665	10647204.85
20AN3F01	23.09.2020	2020	267	20	57	16	90	1247754.985	10647208.23
20AN3F01	23.09.2020	2020	267	20	57	18	91	1247758.321	10647211.62
20AN3F01	23.09.2020	2020	267	20	57	20	93	1247761.648	10647215.05
20AN3F01	23.09.2020	2020	267	20	57	22	94	1247765	10647218.46
20AN3F01	23.09.2020	2020	267	20	57	24	96	1247768.366	10647221.88
20AN3F01	23.09.2020	2020	267	20	57	26	97	1247771.723	10647225.32
20AN3F01	23.09.2020	2020	267	20	57	28	99	1247775.125	10647228.75
20AN3F01	23.09.2020	2020	267	20	57	30	101	1247778.542	10647232.2
20AN3F01	23.09.2020	2020	267	20	57	32	102	1247781.936	10647235.66
20AN3F01	23.09.2020	2020	267	20	57	34	104	1247785.342	10647239.13
20AN3F01	23.09.2020	2020	267	20	57	36	105	1247788.759	10647242.62
20AN3F01	23.09.2020	2020	267	20	57	38	107	1247792.161	10647246.13
20AN3F01	23.09.2020	2020	267	20	57	40	108	1247795.552	10647249.67
20AN3F01	23.09.2020	2020	267	20	57	42	110	1247798.964	10647253.2
20AN3F01	23.09.2020	2020	267	20	57	44	112	1247802.357	10647256.76
20AN3F01	23.09.2020	2020	267	20	57	46	113	1247805.764	10647260.32
20AN3F01	23.09.2020	2020	267	20	57	48	115	1247809.159	10647263.89
20AN3F01	23.09.2020	2020	267	20	57	50	116	1247812.536	10647267.47
20AN3F01	23.09.2020	2020	267	20	57	52	118	1247815.914	10647271.05
20AN3F01	23.09.2020	2020	267	20	57	54	119	1247819.277	10647274.64
20AN3F01	23.09.2020	2020	267	20	57	56	121	1247822.64	10647278.22
20AN3F01	23.09.2020	2020	267	20	57	58	123	1247826.009	10647281.82
20AN3F01	23.09.2020	2020	267	20	58	0	124	1247829.402	10647285.41
20AN3F01	23.09.2020	2020	267	20	58	2	126	1247832.802	10647288.98
20AN3F01	23.09.2020	2020	267	20	58	4	127	1247836.242	10647292.54
20AN3F01	23.09.2020	2020	267	20	58	6	129	1247839.715	10647296.07
20AN3F01	23.09.2020	2020	267	20	58	8	130	1247843.195	10647299.59
20AN3F01	23.09.2020	2020	267	20	58	10	132	1247846.713	10647303.08
20AN3F01	23.09.2020	2020	267	20	58	12	134	1247850.27	10647306.54
20AN3F01	23.09.2020	2020	267	20	58	14	135	1247853.833	10647309.99
20AN3F01	23.09.2020	2020	267	20	58	16	137	1247857.403	10647313.43
20AN3F01	23.09.2020	2020	267	20	58	18	138	1247861.022	10647316.85
20AN3F01	23.09.2020	2020	267	20	58	20	140	1247864.629	10647320.26
20AN3F01	23.09.2020	2020	267	20	58	22	142	1247868.234	10647323.68
20AN3F01	23.09.2020	2020	267	20	58	24	143	1247871.855	10647327.08
20AN3F01	23.09.2020	2020	267	20	58	26	145	1247875.48	10647330.49
20AN3F01	23.09.2020	2020	267	20	58	28	146	1247879.081	10647333.91
20AN3F01	23.09.2020	2020	267	20	58	30	148	1247882.699	10647337.33
20AN3F01	23.09.2020	2020	267	20	58	32	150	1247886.306	10647340.76
20AN3F01	23.09.2020	2020	267	20	58	34	151	1247889.907	10647344.2
20AN3F01	23.09.2020	2020	267	20	58	36	153	1247893.515	10647347.63
20AN3F01	23.09.2020	2020	267	20	58	38	154	1247897.127	10647351.07
20AN3F01	23.09.2020	2020	267	20	58	40	156	1247900.733	10647354.5
20AN3F01	23.09.2020	2020	267	20	58	42	157	1247904.363	10647357.93
20AN3F01	23.09.2020	2020	267	20	58	44	159	1247907.978	10647361.36
20AN3F01	23.09.2020	2020	267	20	58	46	161	1247911.591	10647364.79
20AN3F01	23.09.2020	2020	267	20	58	48	162	1247915.246	10647368.19
20AN3F01	23.09.2020	2020	267	20	58	50	164	1247918.875	10647371.61
