YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	44	29	53	595321.08323	10644732.72160
2020	285	11	44	31	54	595325.11971	10644735.36767
2020	285	11	44	33	56	595329.16944	10644738.02242
2020	285	11	44	35	58	595333.23275	10644740.68607
2020	285	11	44	37	59	595337.30924	10644743.35836
2020	285	11	44	39	61	595341.36154	10644746.01480
2020	285	11	44	41	62	595345.41946	10644748.67492
2020	285	11	44	43	64	595349.48578	10644751.34055
2020	285	11	44	45	65	595353.58130	10644754.01760
2020	285	11	44	47	67	595357.68023	10644756.68213
2020	285	11	44	49	68	595361.73644	10644759.36818
2020	285	11	44	51	70	595365.80690	10644762.07153
2020	285	11	44	53	72	595369.88050	10644764.81137
2020	285	11	44	55	73	595373.94785	10644767.54674
2020	285	11	44	57	75	595377.98752	10644770.28076
2020	285	11	44	59	76	595382.04257	10644773.04186
2020	285	11	45	1	78	595386.08078	10644775.85640
2020	285	11	45	3	79	595390.09969	10644778.65569
2020	285	11	45	5	81	595394.11371	10644781.46193
2020	285	11	45	7	83	595398.13496	10644784.31914
2020	285	11	45	9	84	595402.14508	10644787.20136
2020	285	11	45	11	86	595406.14516	10644790.06796
2020	285	11	45	13	87	595410.10437	10644792.94071
2020	285	11	45	15	89	595414.10950	10644795.84162
2020	285	11	45	17	90	595418.09499	10644798.75094
2020	285	11	45	19	92	595422.06656	10644801.65211
2020	285	11	45	21	94	595426.01257	10644804.54161
2020	285	11	45	23	95	595429.99071	10644807.43807
2020	285	11	45	25	97	595433.96457	10644810.37498
2020	285	11	45	27	98	595437.88749	10644813.33121
2020	285	11	45	29	100	595441.82638	10644816.26865
2020	285	11	45	31	102	595445.75025	10644819.23138
2020	285	11	45	33	103	595449.70254	10644822.20050
2020	285	11	45	35	105	595453.62308	10644825.20197
2020	285	11	45	37	106	595457.55628	10644828.16442
2020	285	11	45	39	108	595461.50767	10644831.08584
2020	285	11	45	41	109	595465.45905	10644834.04952
2020	285	11	45	43	111	595469.41323	10644836.98882
2020	285	11	45	45	113	595473.34651	10644839.91431
2020	285	11	45	47	114	595477.28340	10644842.81254
2020	285	11	45	49	116	595481.22817	10644845.68619
2020	285	11	45	51	117	595485.16136	10644848.60126
2020	285	11	45	53	119	595489.09477	10644851.43683
2020	285	11	45	55	120	595493.02275	10644854.28926
2020	285	11	45	57	122	595496.98740	10644857.10568
2020	285	11	45	59	123	595500.96881	10644859.93070
2020	285	11	46	1	125	595504.95951	10644862.72937
2020	285	11	46	3	127	595508.93851	10644865.51006
2020	285	11	46	5	128	595512.96414	10644868.25854
2020	285	11	46	7	130	595517.00789	10644870.99998
2020	285	11	46	9	131	595521.04680	10644873.72473
2020	285	11	46	11	133	595525.09579	10644876.41704
2020	285	11	46	13	134	595529.12680	10644879.10566
2020	285	11	46	15	136	595533.17325	10644881.77653
2020	285	11	46	17	137	595537.21888	10644884.47371
2020	285	11	46	19	139	595541.24466	10644887.13146
2020	285	11	46	21	141	595545.26215	10644889.79166
2020	285	11	46	23	142	595549.26834	10644892.43650
2020	285	11	46	25	144	595553.31680	10644895.07260
2020	285	11	46	27	145	595557.35204	10644897.70585
2020	285	11	46	29	147	595561.35303	10644900.28832
2020	285	11	46	31	148	595565.37662	10644902.86139
2020	285	11	46	33	150	595569.40104	10644905.42601
2020	285	11	46	35	151	595573.45460	10644907.96110
2020	285	11	46	37	153	595577.46382	10644910.45162
2020	285	11	46	39	154	595581.48184	10644912.93737
2020	285	11	46	41	156	595585.54769	10644915.39350
2020	285	11	46	43	157	595589.58996	10644917.87992
2020	285	11	46	45	159	595593.62583	10644920.35632
2020	285	11	46	47	160	595597.64858	10644922.84661
2020	285	11	46	49	162	595601.69542	10644925.35935
2020	285	11	46	51	163	595605.74008	10644927.89679
2020	285	11	46	53	165	595609.77316	10644930.44960
2020	285	11	46	55	166	595613.83514	10644932.99874
2020	285	11	46	57	168	595617.90745	10644935.54047
2020	285	11	46	59	170	595622.00121	10644938.09003
2020	285	11	47	1	171	595626.06961	10644940.64367
2020	285	11	47	3	173	595630.14190	10644943.21218
2020	285	11	47	5	174	595634.18941	10644945.77655
2020	285	11	47	7	176	595638.18365	10644948.38030
2020	285	11	47	9	177	595642.12522	10644951.01900
2020	285	11	47	11	179	595646.03701	10644953.67979
2020	285	11	47	13	180	595649.91642	10644956.40531
2020	285	11	47	15	182	595653.74486	10644959.13345
2020	285	11	47	17	183	595657.54505	10644961.91022
2020	285	11	47	19	185	595661.32426	10644964.72511
2020	285	11	47	21	186	595665.09347	10644967.56989
2020	285	11	47	23	188	595668.84836	10644970.44004
2020	285	11	47	25	189	595672.58479	10644973.30448
2020	285	11	47	27	191	595676.37465	10644976.15763
2020	285	11	47	29	192	595680.14525	10644979.00566
2020	285	11	47	31	194	595683.96998	10644981.81422
2020	285	11	47	33	195	595687.81218	10644984.59802
2020	285	11	47	35	197	595691.70585	10644987.32676
2020	285	11	47	37	198	595695.61355	10644990.03707
2020	285	11	47	39	200	595699.51387	10644992.74476
2020	285	11	47	41	201	595703.46626	10644995.43145
2020	285	11	47	43	203	595707.43348	10644998.11061
2020	285	11	47	45	205	595711.39160	10645000.79830
2020	285	11	47	47	206	595715.33764	10645003.49736
2020	285	11	47	49	208	595719.27048	10645006.20281
2020	285	11	47	51	209	595723.23646	10645008.91750
2020	285	11	47	53	211	595727.16892	10645011.68144
2020	285	11	47	55	212	595731.07877	10645014.44375
2020	285	11	47	57	214	595734.99087	10645017.19374
2020	285	11	47	59	215	595738.90589	10645019.98356
2020	285	11	48	1	217	595742.82902	10645022.80935
2020	285	11	48	3	218	595746.73934	10645025.62083
2020	285	11	48	5	220	595750.65737	10645028.41331
2020	285	11	48	7	221	595754.57137	10645031.22018
2020	285	11	48	9	223	595758.50253	10645034.05639
2020	285	11	48	11	225	595762.47134	10645036.85270
2020	285	11	48	13	226	595766.40056	10645039.65480
2020	285	11	48	15	228	595770.34959	10645042.41938
2020	285	11	48	17	229	595774.31518	10645045.21912
2020	285	11	48	19	231	595778.29615	10645048.00152
2020	285	11	48	21	232	595782.26699	10645050.77359
2020	285	11	48	23	234	595786.22793	10645053.54244
2020	285	11	48	25	235	595790.22042	10645056.27008
2020	285	11	48	27	237	595794.20025	10645059.03475
2020	285	11	48	29	238	595798.14738	10645061.76454
2020	285	11	48	31	240	595802.11406	10645064.47649
